
Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:55056  [2001:3b8:102:2d::11]:443  ESTABLISHED
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:55653  [2001:3b8:208:391::97a]:443  ESTABLISHED
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:55656  [2001:3b8:208:391::97a]:443  ESTABLISHED
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:55659  [2001:3b8:208:391::97a]:443  ESTABLISHED
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:55660  [2001:3b8:208:391::97a]:443  ESTABLISHED
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:55812  [2001:3b8:208:391::97a]:443  ESTABLISHED
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:56198  [2404:6800:4004:807::2004]:443  TIME_WAIT
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:56205  [2404:6800:4004:818::2002]:443  TIME_WAIT
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:56208  [2406:da14:add:901:be58:5082:6ca:48f6]:443  TIME_WAIT
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:56212  [2600:9000:21d2:f600:13:f1f4:ebc0:93a1]:443  TIME_WAIT
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:56214  [2404:6800:4004:801::2008]:443  TIME_WAIT
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:56223  [2404:6800:4004:80b::2002]:443  TIME_WAIT
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:56225  [2404:6800:4004:808::2003]:443  TIME_WAIT
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:56226  [2404:6800:4008:c07::9b]:443  TIME_WAIT
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:56229  [2404:6800:4004:80b::2002]:443  TIME_WAIT
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:56414  [2404:6800:4004:801::2002]:443  TIME_WAIT
  TCP    [240d:1a:9b9:f800:f4c1:ba0f:81b9:4d52]:56466  [2404:6800:4004:809::2001]:443  TIME_WAIT
